,rank,name,q,country
535,536,Weichai Power,Q3567081,People's Republic of China
536,537,Nucor,Q1645081,United States of America
537,538,Sherwin-Williams,Q48881,United States of America
538,539,Formosa Petrochemical,Q1437742,
539,540,Ally Financial,Q2032800,United States of America
540,541,Murata Manufacturing,Q613325,Japan
541,542,Northern Trust,Q970695,
542,543,American Tower,Q4745263,
543,544,China Fortune Land Development,Q20716530,
544,545,CME Group,Q1023876,United States of America
545,546,Samsung Fire & Marine,Q491500,
546,547,Deutsche Bank,Q66048,Germany
547,548,Kraft Heinz Company,Q19681433,United States of America
548,549,Qingdao Haier,,
549,550,Associated British Foods,Q117059,United Kingdom
550,551,MTR,Q14751,People's Republic of China
551,552,Tata Steel,Q963101,India
552,553,Bank Central Asia,Q806626,
553,554,Bank of Nanjing,,
554,555,Telenor,Q845632,Norway
555,556,Colgate-Palmolive,Q609466,United States of America
556,557,Boston Scientific,Q894585,United States of America
557,558,Kimberly-Clark,Q1741634,United States of America
558,559,China National Building,Q5099798,
559,560,CBS,Q43380,United States of America
560,561,Dollar General,Q145168,
561,562,DISH Network,Q1199757,United States of America
562,563,Keurig Dr Pepper,Q3116111,United States of America
563,564,Kubota,Q1514221,Japan
564,565,Rakuten,Q973054,Japan
565,566,Merck,Q156959,Germany
566,567,Rogers Communications,Q165684,Canada
567,568,PPL,Q14864745,
568,569,Aisin Seiki,Q409907,Japan
569,570,Aroundtown,Q32788516,Luxembourg
570,571,Aon,Q296007,
571,572,Sinopharm Group,Q7524930,People's Republic of China
572,573,Royal Caribbean Cruises,Q427881,United States of America
573,574,Norilsk Nickel,Q1284261,
574,575,Woori Financial Group,Q484117,
575,576,Kirin Holdings,Q13403399,Japan
576,577,NXP Semiconductors,Q1155668,Netherlands
577,578,Saudi Electricity,Q12188903,
578,579,Swisscom,Q644324,Switzerland
579,580,McKesson,Q37030845,
580,581,Nidec,Q3341241,Japan
581,582,Omnicom Group,Q1519267,United States of America
582,583,Coal India,Q124976,India
583,584,RELX,Q998470,United Kingdom
584,585,Ingersoll Rand,Q1663044,
585,586,FirstEnergy,Q1419248,
586,587,Anadarko Petroleum,Q483637,
587,588,Korea Electric Power,Q486737,South Korea
588,589,Regions Financial,Q917131,United States of America
589,590,Simon Property Group,Q2287759,
590,591,Corning,Q576395,United States of America
591,592,The Estée Lauder Companies,,
592,593,Henderson Land,Q1604969,Hong Kong
593,594,Grupo Mexico,Q623591,Mexico
594,595,Allergan,Q413486,
595,596,H&M - Hennes & Mauritz,Q129,
596,597,Loews,Q16872412,
597,598,VMware,Q11407,United States of America
598,599,Best Buy,Q533415,United States of America
599,600,First Data,Q906406,United States of America
600,601,Air Products & Chemicals,Q29002336,United Kingdom
601,602,Astellas Pharma,Q528842,Japan
602,603,Asahi Kasei,Q720489,Japan
603,604,Entergy,Q1344587,
604,605,Ageas,Q392338,
605,606,PPG,Q422582,
606,607,Shimao Property Holdings,Q7496840,
607,608,Sumitomo Electric,Q1814247,Japan
608,609,Formosa Chemicals,,
609,610,Atlantia,Q756243,Italy
610,611,Kotak Mahindra Bank,Q2040404,
611,612,Tenaga Nasional,Q1584297,Malaysia
612,613,JD.com,Q3598926,People's Republic of China
613,614,Wheelock,Q1822271,United States of America
614,615,Western Digital,Q738770,United States of America
615,616,Industrial Bank of Korea,Q483855,
616,617,Baxter International,Q761965,United States of America
617,618,Dongfeng Motor Group,Q11104175,People's Republic of China
618,619,Nintendo,Q8093,Japan
619,620,Aeon,Q271413,Japan
620,621,Coca-Cola European Partners,Q20811256,
621,622,Vonovia,Q1202053,Germany
622,623,Teck Resources,Q688725,Canada
623,624,Evonik,Q473513,Germany
624,625,TELUS,Q165858,Canada
625,626,RWE Group,,
626,627,Devon Energy,Q1206980,United States of America
627,628,Bharat Petroleum,Q854826,India
628,629,Eversource Energy,Q3344199,United States of America
629,630,Oneok,Q11074156,
630,631,TD Ameritrade Holding,,
631,632,Siam Commercial Bank,Q2038986,Thailand
632,633,Edp-energias De Portugal,,
633,634,Resona Holdings,Q1232514,Japan
634,635,Sumitomo Realty,Q4050347,Japan
635,636,Raiffeisen Bank International,Q2127528,Austria
636,637,Daqin Railway,Q5221832,People's Republic of China
637,638,Idemitsu Kosan,Q2216770,Japan
638,639,Unibail-Rodamco,Q608518,France
639,640,Parker-Hannifin,Q1470619,United States of America
640,641,BOE Technology Group,Q22234667,People's Republic of China
641,642,Nokia,Q1418,Finland
642,643,Infosys,Q26989,India
643,644,Public Bank,Q251927,
644,645,Kao,Q713706,
645,646,Mapfre,Q544532,
646,647,Geely Automobile Holdings,Q55118127,People's Republic of China
647,648,Siam Cement,Q1680777,
648,649,Nan Ya Plastics,,
649,650,PKN Orlen,Q971649,Poland
650,651,Naturgy Energy Group,Q474690,Spain
651,652,Kellogg,Q990875,United States of America
652,653,WEC Energy Group,Q8027166,
653,654,CNPC Capital,,
654,655,Kyocera,Q745099,Japan
655,656,Telia,Q3347125,
656,657,Eletrobrás,Q1328252,Brazil
657,658,Guangzhou Automobile Group,Q1552770,People's Republic of China
658,659,CIMB Group Holdings,Q3045976,Malaysia
659,660,Prologis,Q16983765,
660,661,Absa Group,Q331688,South Africa
